f	NaN	74.0	47.0	66.0	35.0	12.0	234.0	46.8
p	NaN	88.0	0.0	50.0	79.0	45.0	262.0	52.4
p	NaN	59.0	51.0	70.0	49.0	41.0	270.0	54.0
f	NaN	53.0	41.0	64.0	43.0	35.0	236.0	47.2
f	NaN	29.0	34.0	28.0	67.0	41.0	199.0	39.8
f	NaN	54.0	44.0	65.0	44.0	36.0	243.0	48.6
f	NaN	80.0	43.0	52.0	21.0	37.0	233.0	46.6
p	NaN	61.0	66.0	32.0	21.0	67.0	247.0	49.4
f	NaN	45.0	51.0	44.0	33.0	62.0	235.0	47.0
p	NaN	50.0	32.0	71.0	40.0	68.0	261.0	52.2
p	NaN	44.0	82.0	45.0	54.0	62.0	287.0	57.4
f	NaN	50.0	49.0	29.0	38.0	74.0	240.0	48.0
f	NaN	75.0	49.0	27.0	16.0	13.0	180.0	36.0
f	NaN	78.0	12.0	70.0	19.0	16.0	195.0	39.0
p	NaN	51.0	51.0	30.0	79.0	75.0	286.0	57.2
p	NaN	87.0	42.0	69.0	48.0	44.0	290.0	58.0
p	NaN	24.0	63.0	73.0	71.0	25.0	256.0	51.2
f	NaN	73.0	45.0	35.0	34.0	11.0	198.0	39.6
p	NaN	82.0	51.0	74.0	32.0	39.0	278.0	55.6
p	NaN	83.0	35.0	75.0	44.0	40.0	277.0	55.4
f	NaN	31.0	64.0	20.0	59.0	43.0	217.0	43.4
f	NaN	68.0	19.0	28.0	59.0	27.0	201.0	40.2
f	NaN	62.0	53.0	42.0	33.0	21.0	211.0	42.2
f	NaN	70.0	31.0	30.0	51.0	29.0	211.0	42.2
f	NaN	63.0	77.0	33.0	34.0	22.0	229.0	45.8
f	NaN	71.0	24.0	31.0	62.0	30.0	218.0	43.6
f	NaN	34.0	74.0	33.0	62.0	46.0	249.0	49.8
p	NaN	51.0	37.0	72.0	41.0	69.0	270.0	54.0
p	NaN	62.0	77.0	53.0	32.0	68.0	292.0	58.4
p	NaN	48.0	55.0	49.0	38.0	66.0	256.0	51.2
f	NaN	86.0	56.0	38.0	17.0	43.0	240.0	48.0
f	NaN	52.0	44.0	43.0	42.0	34.0	215.0	43.0
f	NaN	61.0	42.0	41.0	22.0	20.0	186.0	37.2
p	NaN	69.0	66.0	50.0	39.0	76.0	300.0	60.0
f	NaN	57.0	38.0	58.0	47.0	39.0	239.0	47.8
p	NaN	85.0	66.0	47.0	86.0	42.0	326.0	65.2
p	NaN	43.0	72.0	72.0	61.0	60.0	308.0	61.6
p	NaN	35.0	72.0	64.0	73.0	47.0	291.0	58.2
f	NaN	64.0	61.0	24.0	45.0	23.0	217.0	43.4
p	NaN	60.0	53.0	61.0	70.0	42.0	286.0	57.2
p	NaN	44.0	50.0	63.0	72.0	61.0	290.0	58.0
f	NaN	42.0	22.0	31.0	40.0	59.0	194.0	38.8
p	NaN	49.0	75.0	60.0	39.0	67.0	290.0	58.0
p	NaN	67.0	87.0	68.0	47.0	74.0	343.0	68.6
